t_idx,batch,dataset,question,answer,y,hopped,system,rag_hit,faith,knowledge,gold
0,0,hotpotqa,Were Scott Derrickson and Ed Wood of the same nationality?,Ed Wood (film): Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim,1,False,quiet,0.07017543859649122,0.07017543859649122,"Ed Wood (film): Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton, and starring Johnny Depp as cult filmmaker Ed Wood.  The film concerns the period in Wood's life when he made his best-kno",yes
1,0,hotpotqa,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,"Meet Corliss Archer: Meet Corliss Archer, a program from radio's Golden Age, ran from January 7, 1943 to",1,False,quiet,0.06607929515418502,0.06607929515418502,"Meet Corliss Archer: Meet Corliss Archer, a program from radio's Golden Age, ran from January 7, 1943 to September 30, 1956.  Although it was CBS's answer to NBC's popular ""A Date with Judy"", it was also broadcast by NBC in 1948 as a summer",Chief of Protocol
2,0,hotpotqa,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Andre Norton Award: The Andre Norton Award for Young Adult Science Fiction and Fantasy is an annual award,1,False,quiet,0.07035175879396985,0.07035175879396985,Andre Norton Award: The Andre Norton Award for Young Adult Science Fiction and Fantasy is an annual award presented by the Science Fiction and Fantasy Writers of America (SFWA) to the author of the best young adult or middle grade science f,Animorphs
3,0,hotpotqa,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"Esma Sultan (daughter of Abdülaziz): Esma Sultan (21 March 1873 – 7 May 1899) was an Ottoman princess,",1,False,quiet,0.07804878048780488,0.07804878048780488,"Esma Sultan (daughter of Abdülaziz): Esma Sultan (21 March 1873 – 7 May 1899) was an Ottoman princess, the daughter of Sultan Abdülaziz and his wife Gevheri Kadın, herself the daughter of Salih Bey Svatnba.  She was the half-sister of Abdül",no
4,0,hotpotqa,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",Just Another Romantic Wrestling Comedy: Just Another Romantic Wrestling Comedy is a 2006 film starring April Hunter and,1,False,quiet,0.061611374407582936,0.061611374407582936,"Just Another Romantic Wrestling Comedy: Just Another Romantic Wrestling Comedy is a 2006 film starring April Hunter and Joanie Laurer.  This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was rele","Greenwich Village, New York City"
5,0,hotpotqa,2014 S/S is the debut album of a South Korean boy group that was formed by who?,List of awards and nominations received by Shinee: South Korean boy group Shinee have received several awards and,1,False,quiet,0.07567567567567568,0.07567567567567568,List of awards and nominations received by Shinee: South Korean boy group Shinee have received several awards and nominations for their music work.  The group was formed by S.M. Entertainment in 2008 and released their first full-length alb,YG Entertainment
6,0,hotpotqa,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"James P. Comer: James P. Comer (born James Pierpont Comer, September 25, 1934 in East Chicago, Indiana) is",1,False,quiet,0.055793991416309016,0.055793991416309016,"James P. Comer: James P. Comer (born James Pierpont Comer, September 25, 1934 in East Chicago, Indiana) is currently the Maurice Falk Professor of Child Psychiatry at the Yale Child Study Center and has been since 1976.  He is also an assoc",Eenasul Fateh
7,0,hotpotqa,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"Billings Bulls: The Billings Bulls were a junior ice hockey organization based in Billings, Montana. They most recently",1,False,quiet,0.06696428571428571,0.06696428571428571,"Billings Bulls: The Billings Bulls were a junior ice hockey organization based in Billings, Montana.  They most recently played home games at the 550-seat Centennial Ice Arena and due to the arena's small size, the Bulls frequently sold out","3,677 seated"
8,0,hotpotqa,"Who is older, Annie Morton or Terry Richardson?","Annie Morton: Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. She has appeared",1,False,quiet,0.06382978723404255,0.06382978723404255,"Annie Morton: Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.  She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines.  She has been photographed by Helmut Newton; Peter L",Terry Richardson
9,0,hotpotqa,Are Local H and For Against both from the United States?,"Mendocino County GMO Ban: Mendocino County, California, was the first jurisdiction in the United States to ban the",1,False,quiet,0.06018518518518518,0.06018518518518518,"Mendocino County GMO Ban: Mendocino County, California, was the first jurisdiction in the United States to ban the cultivation, production or distribution of genetically modified organisms (GMOs).  The ordinance, entitled Measure H, was pas",yes
10,0,hotpotqa,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?","North Kansas City, Missouri: North Kansas City is a city in Clay County, Missouri, United States that despite",1,False,quiet,0.07103825136612021,0.07103825136612021,"North Kansas City, Missouri: North Kansas City is a city in Clay County, Missouri, United States that despite the similarity in name to its larger counterpart, Kansas City, is an independent municipality part of the Kansas City metropolitan",Kansas Song
11,0,hotpotqa,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",Ungod: Ungod is the debut album released in 1994 on Columbia Records by the American industrial rock band,1,False,quiet,0.07239819004524888,0.07239819004524888,"Ungod: Ungod is the debut album released in 1994 on Columbia Records by the American industrial rock band Stabbing Westward.  The album was recorded in six weeks of 1993 in Chiswick, England, and released on February 15, 1994.  With adequat",David Weissman
12,0,hotpotqa,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,"Arnold Schwarzenegger filmography: Arnold Schwarzenegger is an actor who has appeared in over 30 films, and has also",1,False,quiet,0.061224489795918366,0.061224489795918366,"Arnold Schwarzenegger filmography: Arnold Schwarzenegger is an actor who has appeared in over 30 films, and has also ventured into directing and producing.  He began his acting career primarily with small roles in film and television.  For ",1999
13,0,hotpotqa,Are Random House Tower and 888 7th Avenue both used for real estate?,Real estate benchmarking: Real estate benchmarking is the standard of measurement used to analyze the financial characteristics of,1,False,quiet,0.06666666666666667,0.06666666666666667,"Real estate benchmarking: Real estate benchmarking is the standard of measurement used to analyze the financial characteristics of a real estate investment property.  In the general sense, real estate benchmarking refers to the comparison o",no
14,0,hotpotqa,The football manager who recruited David Beckham managed Manchester United during what timeframe?,"Joshua Parlby: Joshua Parlby (born 1855 in Longton, Staffordshire) was an English football manager who managed Manchester City",1,False,quiet,0.07804878048780488,0.07804878048780488,"Joshua Parlby: Joshua Parlby (born 1855 in Longton, Staffordshire) was an English football manager who managed Manchester City in the 1890s.
1996 FA Charity Shield: The 1996 FA Charity Shield (also known as the Littlewoods FA Charity Shield",from 1986 to 2013
15,0,hotpotqa,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,Fishing Lake: Fishing Lake is a lake in the Canadian province of Saskatchewan. The lake is located between,1,False,quiet,0.061855670103092786,0.061855670103092786,"Fishing Lake: Fishing Lake is a lake in the Canadian province of Saskatchewan.  The lake is located between highway 5 and highway 16, 22 km north of the town of Foam Lake, Saskatchewan, and 24 km east of the town of Wadena, Saskatchewan.  T","9,984"
16,0,hotpotqa,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,2010–11 Vermont Catamounts men's basketball team: The 2010–11 Vermont Catamounts men's basketball team represented the University of Vermont,1,False,quiet,0.096,0.096,2010–11 Vermont Catamounts men's basketball team: The 2010–11 Vermont Catamounts men's basketball team represented the University of Vermont in the 2010–11 NCAA Division I men's basketball season.  The Catamounts won their third consecutive,the North Atlantic Conference
17,0,hotpotqa,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,Bernhard Bötel: Bernhard Bötel (1883–1953) was a German operatic tenor and actor who had an active career in,1,False,quiet,0.07692307692307693,0.07692307692307693,Bernhard Bötel: Bernhard Bötel (1883–1953) was a German operatic tenor and actor who had an active career in Germany and Austria during the first half of the 20th century.  He made recordings for several record labels during the early years,yes
18,0,hotpotqa,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,United States Assistant Secretary of State: Assistant Secretary of State (A/S) is a title used for many executive,1,False,quiet,0.07329842931937172,0.07329842931937172,"United States Assistant Secretary of State: Assistant Secretary of State (A/S) is a title used for many executive positions in the United States Department of State, ranking below the Under Secretaries.  A set of six Assistant Secretaries r",1969 until 1974
19,0,hotpotqa,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Asgard (yacht): Asgard is a 51 ft gaff rigged yacht. She was owned by the English-born writer and,1,False,quiet,0.09941520467836257,0.09941520467836257,"Asgard (yacht): Asgard is a 51 ft gaff rigged yacht.  She was owned by the English-born writer and Irish nationalist Erskine Childers and his wife Molly Childers.  She is most noted for her use in the Howth gun-running of 1914.
Henry Roth: ",Robert Erskine Childers DSC
20,1,hotpotqa,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,2009 Singapore Grand Prix: The 2009 Singapore Grand Prix (formally the 2009 Formula 1 SingTel Singapore Grand Prix),1,False,quiet,0.04390243902439024,0.04390243902439024,2009 Singapore Grand Prix: The 2009 Singapore Grand Prix (formally the 2009 Formula 1 SingTel Singapore Grand Prix) was a Formula One motor race held at the Marina Bay Street Circuit in Singapore on 27 September 2009.  The 61-lap race was t,Pedro Rodríguez
21,1,hotpotqa,This singer of A Rather Blustery Day also voiced what hedgehog?,"Hip Hip Pooh-Ray!: ""Hip Hip Pooh-Ray!"" is a song from the 1968 musical film featurette ""Winnie the Pooh",1,False,quiet,0.06280193236714976,0.06280193236714976,"Hip Hip Pooh-Ray!: ""Hip Hip Pooh-Ray!""  is a song from the 1968 musical film featurette ""Winnie the Pooh and the Blustery Day"".  It is sung by the cast as a release from the dramatic tension of the story.  The song is also incorporated into",Sonic
22,1,hotpotqa,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",Universal remote: A universal remote is a remote control that can be programmed to operate various brands of,1,False,quiet,0.07954545454545454,0.07954545454545454,Universal remote: A universal remote is a remote control that can be programmed to operate various brands of one or more types of consumer electronics devices.  Low-end universal remotes can only control a set number of devices determined b,keyboard function keys
23,1,hotpotqa,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ","Wolf Alice: Wolf Alice are a four-piece alternative rock band from North London, formed initially as a two-person",1,False,quiet,0.06513409961685823,0.06513409961685823,"Wolf Alice: Wolf Alice are a four-piece alternative rock band from North London, formed initially as a two-person band in 2010.  Its members since 2012 are Ellie Rowsell (vocals, guitar), Joff Oddie (guitars, vocals), Theo Ellis (bass), and",Badly Drawn Boy
