t_idx,batch,dataset,question,answer,y,hopped,system,rag_hit,faith,faith_metric,knowledge,gold
0,0,squad,Which NFL team represented the AFC at Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Denver Broncos
1,0,squad,Which NFL team represented the NFC at Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Carolina Panthers
2,0,squad,Where did Super Bowl 50 take place?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,"Santa Clara, California"
3,0,squad,Which NFL team won Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Denver Broncos
4,0,squad,What color was used to emphasize the 50th anniversary of the Super Bowl?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,gold
5,0,squad,What was the theme of Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,"""golden anniversary"""
6,0,squad,What day was the game played on?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,"February 7, 2016"
7,0,squad,What is the AFC short for?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,American Football Conference
8,0,squad,What was the theme of Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,"""golden anniversary"""
9,0,squad,What does AFC stand for?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,American Football Conference
