t_idx,batch,question,answer,y,y_raw_pref,flipped,featurizer
0,0,How can you learn to be polite,"I have an idea about a system I’d like to try.  I’d first model politeness, then teach you to copy it, and then reward you for good behavior.",1,1,0,style10+hash128
1,0,How are LEDs made?,"Maybe!  But it also depends on the type of bulb, and also the quality of the bulb.  A regular incandescent bulb also uses a coating on the bulb that is like a fluorescent material.  The “warm-up time” of a LED, which is the amount of time it takes for the light to brighten, might also be similar to the warm-up time of an incandescent bulb.  But the long term efficiency of a fluorescent bulb is far better than that of an incandescent bulb.",1,1,0,style10+hash128
2,0,What are the different formulas for calculating a tip?,"First of all, it’s possible to calculate tip by yourself, but I think it’s more convenient to have a computer do it for you.  If you don’t want to go through the calculations, just try one of the five basic tipping algorithms.  I can explain each in detail, if you like.  If you just want to enter your tip amount and know the rest, just ask me for the amount you want to tip.  If you do want to understand what the calculations are, let me explain.",1,1,0,style10+hash128
3,0,Who was Phar Lap?,"Phar Lap was a racehorse that had a winning streak in the late 1920s, which put him in the Guinness Book of World Records for the longest unbeaten streak.",0,0,0,style10+hash128
4,0,Is it good to use training wheels on a bicycle for a kid or should you just teach them to ride a bike right away?,"I am not aware of any systematic studies on this topic.  I would guess, but I don’t know for sure, that learning how to ride a bike without training wheels is beneficial to a child’s motor and cognitive skills.  However, in terms of preventing injuries, it might be safer to use training wheels until the child is able to ride without them.  You could also ask an expert.",0,0,0,style10+hash128
5,0,I keep biting the inside of my cheek when I'm sleeping. What can I do to prevent this in the future?,"Of course! You could try spending a week tracking how much you sleep, and recording that, then writing about it. Then you can talk to me more about what you’ve discovered, and we can try to understand your experience better.",1,1,0,style10+hash128
6,0,How do people make money on Tiktok?,"Yeah, although they are also responsible for writing the copy that appears under the video.",0,0,0,style10+hash128
7,0,What are some teas that are beneficial to health?,"I have found that chamomile tea has been used to relieve some inflammation, and can help with an upset stomach, and  is useful for relieving stress.  Green tea and rooibos teas have some of the same effects, but rooibos also contains antioxidants, which can also be beneficial for skin and can reduce the risk of various types of cancer.",0,0,0,style10+hash128
8,0,Do you need a license to fish?,"People can either get their licenses from Fish and Game, and there are Fish and Game offices in every state.  Or you can get a free license by proving that you are:

-  A resident of this state for at least 60 days
-  Over the age of 16
-  Not a convicted felon, and
-  Not under a judicial order to refrain from fishing",1,1,0,style10+hash128
9,0,What does holistic medicine mean?,"Some people do seem to get better from that kind of treatment, and there are good reasons for why this happens.  A holistic practitioner might take an approach to treating the patient that focuses on their psychological, physical, and social well-being, so as to prevent a patient from getting sick again in the future.",1,1,0,style10+hash128
10,0,I'm bringing my new boyfriend home to meet my parents for the first time. How can I ensure the introduction goes smoothly?,I see.  Has your boyfriend met your family before?,0,0,0,style10+hash128
11,0,"I'm trying to write a computer program to visualize the performance of various machine learning models that I've trained. I have several datasets, and each dataset has several data points. I also have several models, which I am evaluating on these datasets. The performance of each model is evaluated on each data point of each dataset. This means I have an number or entry for every model+dataset pair.","I'm sorry, I don't think I understand your question.",0,0,0,style10+hash128
12,0,What are good valentine's day presents for a husband?,There’s the Grand Canyon tour package and the Yellowstone or Niagara Falls packages.,1,1,0,style10+hash128
13,0,How do pandemics usually start? Are most of them caused by animals?,"The 1918 flu pandemic was caused by a virus called a Spanish flu virus, and it was able to spread across the globe in part because people were moving around to fight in WWI.  This allowed the virus to be transmitted around the world.  As you might imagine, these viruses are sometimes called pandemic viruses.",1,1,0,style10+hash128
14,0,How do I get over a fear of elevators?,"So it seems like you would benefit from some kind of exposure therapy.  Maybe you could sit in an elevator, close your eyes, and then tell me what you notice in terms of what you feel, hear, see, smell, and anything else",1,1,0,style10+hash128
