t_idx,batch,dataset,question,answer,y,hopped,system,rag_hit,faith,faith_metric,knowledge,gold
0,0,halueval,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.First for Women is,0,False,quiet,1.0,1.0,answer_precision,Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.First for Women is a woman's magazine published by Bauer Media Group in the USA.,First for Women was started first.
1,0,halueval,The Oberoi family is part of a hotel company that has a head office in what city?,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The",0,False,quiet,1.0,1.0,answer_precision,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.The Oberoi Group is a hotel company with its head office in Delhi.",Delhi
2,0,halueval,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?","Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical",0,False,quiet,1.0,1.0,answer_precision,"Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician. Goertz is known for her satirical songs based on various pop culture topics. Her videos are posted on YouTube under the name of Cossbysweater.Milhouse Mussolini van H",President Richard Nixon
3,0,halueval, What nationality was James Henry Miller's wife?,"Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain,",0,False,quiet,1.0,1.0,answer_precision,"Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger. She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.James H",American
4,0,halueval,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?","It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.Ethanol, also called",0,False,quiet,1.0,1.0,answer_precision," It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.Ethanol, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH .",water with a hint of alcohol
5,0,halueval,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?","Jonathan Stark (born April 3, 1971) is a former professional tennis player from the United States. During his",0,False,quiet,1.0,1.0,answer_precision,"Jonathan Stark (born April 3, 1971) is a former professional tennis player from the United States. During his career he won two Grand Slam doubles titles (the 1994 French Open Men's Doubles and the 1995 Wimbledon Championships Mixed Doubles",Henri Leconte won more Grand Slam titles.
6,0,halueval,Which genus of moth in the world's seventh-largest country contains only one species?,"Indogrammodes is a genus of moths of the Crambidae family. It contains only one species, Indogrammodes pectinicornalis, which",0,False,quiet,1.0,1.0,answer_precision,"Indogrammodes is a genus of moths of the Crambidae family. It contains only one species, Indogrammodes pectinicornalis, which is found in India.India, officially the Republic of India (""Bhārat Gaṇarājya""), is a country in South Asia. It is ",The Indogrammodes genus of moths found in India has only one species.
7,0,halueval,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.","Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov.",0,False,quiet,1.0,1.0,answer_precision," Fighters from around world on the roster include Badr Hari, Peter Aerts, Peter Graham, Dewey Cooper, Zabit Samedov. It was considered as one of the biggest kickboxing and MMA promotion in Middle East.Badr Hari (Arabic: بدر هاري‎ ‎ ; born 8",Badr Hari
8,0,halueval,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?","House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het",0,False,quiet,1.0,1.0,answer_precision,"House of Anubis is a mystery television series developed for Nickelodeon based on the Dutch-Belgian television series ""Het Huis Anubis"". It first aired in September 2006 and the last episode was broadcast on December 4, 2009.",2006
9,0,halueval,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring,0,False,quiet,1.0,1.0,answer_precision,"The 2013 Liqui Moly Bathurst 12 Hour was an endurance race for a variety of GT and touring car classes, including: GT3 cars, GT4 cars, Group 3E Series Production Cars and Dubai 24 Hour cars. The event, which was staged at the Mount Panorama",6.213 km long
10,0,halueval,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?","Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and",0,False,quiet,1.0,1.0,answer_precision," Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an Am",Jaime Meline
11,0,halueval,"Gunmen from Laredo starred which narrator of ""Frontier""?","Gunmen from Laredo is a 1959 American western film produced and directed by Wallace MacDonald, which stars Robert",0,False,quiet,1.0,1.0,answer_precision,"Gunmen from Laredo is a 1959 American western film produced and directed by Wallace MacDonald, which stars Robert Knapp, Maureen Hingert, and Walter Coy.Walter Darwin Coy (January 31, 1909 – December 11, 1974) was an American stage, radio, ","Although Walter Darwin Coy was part of the cast, the narrator of ""Frontier"" was actually Richard Boone."
12,0,halueval,Where did the form of music played by Die Rhöner Säuwäntzt originate?,"Die Rhöner Säuwäntzt are a Skiffle-Bluesband from Eichenzell-Lütter in Hessen, Germany. Originating as a term in the United",0,False,quiet,1.0,1.0,answer_precision,"Die Rhöner Säuwäntzt are a Skiffle-Bluesband from Eichenzell-Lütter in Hessen, Germany. Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associate",United States
13,0,halueval,In which American football game was Malcolm Smith named Most Valuable player?,Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl,0,False,quiet,1.0,1.0,answer_precision, Smith was named the Most Valuable Player of Super Bowl XLVIII after they defeated the Denver Broncos.Super Bowl XLVIII was an American football game between the American Football Conference (AFC) champion Denver Broncos and National Footba,Super Bowl XLVIII
14,0,halueval,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?","The nine mile byway starts south of Morehead, Kentucky and can be accessed by U.S. Highway 60.Morehead is",0,False,quiet,1.0,1.0,answer_precision," The nine mile byway starts south of Morehead, Kentucky and can be accessed by U.S. Highway 60.Morehead is a home rule-class city located along US 60 (the historic Midland Trail) and Interstate 64 in Rowan County, Kentucky, in the United St","It's actually Zilpo Road that is known as Midland Trail, not US 60."
15,0,halueval,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?","The Great Outdoors is a 1988 American comedy film directed by Howard Deutch, and written and produced by",0,False,quiet,1.0,1.0,answer_precision,"The Great Outdoors is a 1988 American comedy film directed by Howard Deutch, and written and produced by John Hughes. It stars Dan Aykroyd, John Candy, Stephanie Faracy and Annette Bening in her film debut.Annette Carol Bening (born May 29,",Annette Bening received her Hollywood star in 1988.
16,0,halueval,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the",0,False,quiet,1.0,1.0,answer_precision," The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical's cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo."
17,0,halueval,"Human Error"" is the season finale of the third season of a tv show that aired on what network?","""Human Error"" is the twenty-fourth episode and season finale of the third season of ""House"" and the seventieth",0,False,quiet,1.0,1.0,answer_precision,"""Human Error"" is the twenty-fourth episode and season finale of the third season of ""House"" and the seventieth episode overall.House (also called House, M.D.) is an American television medical drama that originally ran on the Fox network fo","""Human Error"" was actually the season finale of the fourth season of ""House"" and aired on NBC."
18,0,halueval,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?","Her self-titled debut studio album was released on 2 June 2017.""New Rules"" is a song by English singer",0,False,quiet,1.0,1.0,answer_precision," Her self-titled debut studio album was released on 2 June 2017.""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album (2017).",The album was released in 2018.
19,0,halueval,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?","Joseph John “Joe” Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General",0,False,quiet,1.0,1.0,answer_precision,"Joseph John “Joe” Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully ",Nevada
