t_idx,batch,dataset,question,answer,y,y_jaccard_full,y_prec_support,y_prec_and_gold,hopped,rag_hit,prec_support,jaccard_full,gold_hit,knowledge_support,gold
0,0,hotpotqa,Were Scott Derrickson and Ed Wood of the same nationality?,"yes. Supported by: Scott Derrickson: Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer. Ed Wood: Edward Davis Wood Jr. (October",0,1,0,0,False,0.8636363636363636,0.8636363636363636,0.08695652173913043,True,"Scott Derrickson: Scott Derrickson (born July 16, 1966) is an American director, screenwriter and producer.
Ed Wood: Edward Davis Wood Jr. (October 10, 1924 – December 10, 1978) was an American filmmaker, actor, writer, producer, and direct",yes
1,0,hotpotqa,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol. Supported by: Kiss and Tell (1945 film): Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.,0,1,0,0,False,0.9166666666666666,0.9166666666666666,0.10087719298245613,True,"Kiss and Tell (1945 film): Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.
Shirley Temple: Shirley Temple Black (April 23, 1928 – February 10, 2014) was an American actress, singer, d",Chief of Protocol
2,0,hotpotqa,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","Animorphs. Supported by: The Hork-Bajir Chronicles: The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate. The Hork-Bajir",0,1,0,0,False,0.9411764705882353,0.9411764705882353,0.08,True,"The Hork-Bajir Chronicles: The Hork-Bajir Chronicles is the second companion book to the ""Animorphs"" series, written by K. A. Applegate.
The Hork-Bajir Chronicles:  With respect to continuity within the series, it takes place before book #2",Animorphs
3,0,hotpotqa,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"no. Supported by: Laleli Mosque: The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih,",0,1,0,0,False,0.8421052631578947,0.8421052631578947,0.051643192488262914,True,"Laleli Mosque: The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey.
Esma Sultan Mansion: The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ",no
4,0,hotpotqa,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City. Supported by: Big Stone Gap (film): Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and",0,1,0,0,False,0.9565217391304348,0.9565217391304348,0.09345794392523364,True,"Big Stone Gap (film): Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society.
Adriana Trigiani: Adriana ","Greenwich Village, New York City"
5,0,hotpotqa,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"YG Entertainment. Supported by: 2014 S/S: 2014 S/S is the debut album of South Korean group WINNER. Winner (band): Winner (Hangul: 위너), often stylized as WINNER,",0,1,0,0,False,0.95,0.95,0.10215053763440861,True,"2014 S/S: 2014 S/S is the debut album of South Korean group WINNER.
Winner (band): Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014.",YG Entertainment
6,0,hotpotqa,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"Eenasul Fateh. Supported by: Eenasul Fateh: Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British",0,1,0,0,False,0.9473684210526315,0.9473684210526315,0.04132231404958678,True,"Eenasul Fateh: Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant.
Management ",Eenasul Fateh
7,0,hotpotqa,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated. Supported by: Lewiston Maineiacs: The team played its home games at the Androscoggin Bank Colisée. Androscoggin Bank Colisée: The Androscoggin Bank Colisée (formerly Central",0,1,0,0,False,0.9,0.9,0.04721030042918455,True,"Lewiston Maineiacs:  The team played its home games at the Androscoggin Bank Colisée.
Androscoggin Bank Colisée: The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) mul","3,677 seated"
8,0,hotpotqa,"Who is older, Annie Morton or Terry Richardson?","Terry Richardson. Supported by: Annie Morton: Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. Annie Morton: She has been photographed by",0,1,0,0,False,0.95,0.95,0.08050847457627118,True,"Annie Morton: Annie Morton (born October 8, 1970) is an American model born in Pennsylvania.
Annie Morton:  She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Elle",Terry Richardson
9,0,hotpotqa,Are Local H and For Against both from the United States?,"yes. Supported by: Local H: Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe",0,1,0,0,False,0.9090909090909091,0.9090909090909091,0.030303030303030304,True,"Local H: Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987.
For Against: For Against is a United St",yes
10,0,hotpotqa,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song. Supported by: Kansas Song: Kansas Song (We’re From Kansas) is a fight song of the University of Kansas. University of Kansas: The main campus,0,1,0,0,False,0.8666666666666667,0.8666666666666667,0.05319148936170213,True,"Kansas Song: Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.
University of Kansas:  The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.
",Kansas Song
11,0,hotpotqa,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?","David Weissman. Supported by: David Weissman: David Weissman is a screenwriter and director. David Weissman: His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and",0,1,0,0,False,0.9473684210526315,0.9473684210526315,0.08108108108108109,True,"David Weissman: David Weissman is a screenwriter and director.
David Weissman:  His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010).
The Family Man: The Family Man is a 2000 American romantic co",David Weissman
12,0,hotpotqa,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,"1999. Supported by: Oh My God (Guns N' Roses song): ""Oh My God"" is a song by Guns N' Roses released in 1999 on the",0,1,0,0,False,0.9375,0.9375,0.0398406374501992,True,"Oh My God (Guns N' Roses song): ""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".
Oh My God (Guns N' Roses song):  The song was sent out to radio stations in November 1999 as a promo for th",1999
13,0,hotpotqa,Are Random House Tower and 888 7th Avenue both used for real estate?,"no. Supported by: Random House Tower: The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York",0,1,0,0,False,0.8636363636363636,0.8636363636363636,0.09595959595959595,True,"Random House Tower: The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment co",no
14,0,hotpotqa,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013. Supported by: 1995–96 Manchester United F.C. season: Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced,0,1,0,0,False,0.9642857142857143,0.9642857142857143,0.12560386473429952,True,"1995–96 Manchester United F.C. season:  Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced players Paul Ince, Mark Hughes and Andrei Kanchelskis before the start of the season, and not made an",from 1986 to 2013
15,0,hotpotqa,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984. Supported by: Brown State Fishing Lake: Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected",0,1,0,0,False,0.8888888888888888,0.8888888888888888,0.07614213197969544,True,"Brown State Fishing Lake: Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected area in Brown County, Kansas in the United States.
Brown County, Kansas:  As of the 2010 census, the coun","9,984"
16,0,hotpotqa,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference. Supported by: Vermont Catamounts men's soccer: The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college,0,1,0,0,False,0.9047619047619048,0.9047619047619048,0.15873015873015872,True,"Vermont Catamounts men's soccer: The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college soccer competitions.
Vermont Catamounts men's soccer:  The team competes in the America East",the North Atlantic Conference
17,0,hotpotqa,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes. Supported by: Giuseppe Verdi: Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.,0,1,0,0,False,0.85,0.85,0.07627118644067797,True,"Giuseppe Verdi: Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.
Ambroise Thomas: Charles Louis Ambroise Thomas (5 August 1811 – 12 February 1896) was a French composer, best kno",yes
18,0,hotpotqa,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,"1969 until 1974. Supported by: Roger O. Egeberg: His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare",0,1,0,0,False,0.92,0.92,0.06930693069306931,True,"Roger O. Egeberg:  His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare (now the United States Department of Health and Human Services) during the Nixon administr",1969 until 1974
19,0,hotpotqa,"Which writer was from England, Henry Roth or Robert Erskine Childers?","Robert Erskine Childers DSC. Supported by: Henry Roth: Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer. Robert Erskine Childers:",0,1,0,0,False,0.9090909090909091,0.9090909090909091,0.12209302325581395,True,"Henry Roth: Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer.
Robert Erskine Childers: Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was",Robert Erskine Childers DSC
